particle_count,workgroup_size,frame,dispatch_ns
32768,32,0,4480
32768,32,1,3800
32768,32,2,3080
32768,32,3,3480
32768,32,4,3400
32768,32,5,3080
32768,32,6,3080
32768,32,7,3120
32768,32,8,3120
32768,32,9,3120
32768,32,10,3160
32768,32,11,3440
32768,32,12,3320
32768,32,13,3120
32768,32,14,3120
32768,32,15,3120
32768,32,16,3120
32768,32,17,3160
32768,32,18,3080
32768,32,19,3080
32768,32,20,3160
32768,32,21,3160
32768,32,22,3120
32768,32,23,3120
32768,32,24,3080
32768,32,25,3080
32768,32,26,3440
32768,32,27,3080
32768,32,28,3080
32768,32,29,3320
32768,32,30,3400
32768,32,31,3360
32768,32,32,3200
32768,32,33,3040
32768,32,34,3080
32768,32,35,3160
32768,32,36,3120
32768,32,37,3080
32768,32,38,3200
32768,32,39,3120
32768,32,40,3120
32768,32,41,3440
32768,32,42,3160
32768,32,43,3120
32768,32,44,3200
32768,32,45,3120
32768,32,46,3120
32768,32,47,3200
32768,32,48,3120
32768,32,49,3120
32768,32,50,3160
32768,32,51,3080
32768,32,52,3080
32768,32,53,3160
32768,32,54,3440
32768,32,55,3400
32768,32,56,3280
32768,32,57,3120
32768,32,58,3120
32768,32,59,3160
32768,32,60,3200
32768,32,61,3120
32768,32,62,3120
32768,32,63,3160
32768,32,64,3400
32768,32,65,3200
32768,32,66,3160
32768,32,67,3480
32768,32,68,3160
32768,32,69,3160
32768,32,70,3120
32768,32,71,3200
32768,32,72,3160
32768,32,73,3120
32768,32,74,3120
32768,32,75,3120
32768,32,76,3160
32768,32,77,3160
32768,32,78,3200
32768,32,79,3160
32768,32,80,3080
32768,32,81,3760
32768,32,82,3680
32768,32,83,3120
32768,32,84,3080
32768,32,85,3080
32768,32,86,3120
32768,32,87,3160
32768,32,88,3360
32768,32,89,3120
32768,32,90,3120
32768,32,91,3160
32768,32,92,3120
32768,32,93,3160
32768,32,94,3160
32768,32,95,3160
32768,32,96,3160
32768,32,97,3160
32768,32,98,3240
32768,32,99,3120
32768,32,100,3120
32768,32,101,3120
32768,32,102,3160
32768,32,103,3120
32768,32,104,3120
32768,32,105,3320
32768,32,106,3200
32768,32,107,3160
32768,32,108,3480
32768,32,109,3600
32768,32,110,3080
32768,32,111,3080
32768,32,112,3200
32768,32,113,3160
32768,32,114,3160
32768,32,115,3240
32768,32,116,3120
32768,32,117,3400
32768,32,118,3160
32768,32,119,3160
32768,32,120,3560
32768,32,121,3160
32768,32,122,3200
32768,32,123,3200
32768,32,124,3240
32768,32,125,3160
32768,32,126,3160
32768,32,127,3160
32768,32,128,3200
32768,32,129,3200
32768,32,130,3200
32768,32,131,3200
32768,32,132,3120
32768,32,133,3120
32768,32,134,3440
32768,32,135,3280
32768,32,136,3080
32768,32,137,3160
32768,32,138,3120
32768,32,139,3160
32768,32,140,3160
32768,32,141,3160
32768,32,142,3160
32768,32,143,3080
32768,32,144,3160
32768,32,145,3200
32768,32,146,3200
32768,32,147,3120
32768,32,148,3160
32768,32,149,3240
32768,32,150,3200
32768,32,151,3160
32768,32,152,3160
32768,32,153,3080
32768,32,154,3160
32768,32,155,3120
32768,32,156,3200
32768,32,157,3160
32768,32,158,3200
32768,32,159,3120
32768,32,160,3200
32768,32,161,3320
32768,32,162,3360
32768,32,163,3080
32768,32,164,3120
32768,32,165,3360
32768,32,166,3040
32768,32,167,3120
32768,32,168,3080
32768,32,169,3120
32768,32,170,3200
32768,32,171,3120
32768,32,172,3160
32768,32,173,3360
32768,32,174,3120
32768,32,175,3080
32768,32,176,3120
32768,32,177,3080
32768,32,178,3160
32768,32,179,3120
32768,32,180,3160
32768,32,181,3120
32768,32,182,3120
32768,32,183,3160
32768,32,184,3160
32768,32,185,3080
32768,32,186,3280
32768,32,187,3240
32768,32,188,3080
32768,32,189,3320
32768,32,190,3120
32768,32,191,3120
32768,32,192,3120
32768,32,193,3120
32768,32,194,3160
32768,32,195,3160
32768,32,196,3160
32768,32,197,3320
32768,32,198,3120
32768,32,199,3200
32768,32,200,3160
32768,32,201,3160
32768,32,202,3120
32768,32,203,3160
32768,32,204,3120
32768,32,205,3240
32768,32,206,3160
32768,32,207,3160
32768,32,208,3160
32768,32,209,3360
32768,32,210,3120
32768,32,211,3280
32768,32,212,3200
32768,32,213,3160
32768,32,214,3440
32768,32,215,4080
32768,32,216,3040
32768,32,217,3080
32768,32,218,3120
32768,32,219,3120
32768,32,220,3120
32768,32,221,3120
32768,32,222,3080
32768,32,223,3080
32768,32,224,3160
32768,32,225,3120
32768,32,226,3120
32768,32,227,3120
32768,32,228,3080
32768,32,229,3200
32768,32,230,3120
32768,32,231,3080
32768,32,232,3080
32768,32,233,3160
32768,32,234,3120
32768,32,235,3120
32768,32,236,3120
32768,32,237,3400
32768,32,238,3120
32768,32,239,3160
32768,32,240,3120
32768,32,241,3280
